id,line,chapter,chapter_id,strophe_id,line_id
1.1.1,"რომელმან შექმნა სამყარო ძალითა მით ძლიერითა,",დასაწყისი,1,1,1
1.1.2,"ზეგარდმო არსნი სულითა ყვნა ზეცით მონაბერითა,",დასაწყისი,1,1,2
1.1.3,"ჩვენ, კაცთა, მოგვცა ქვეყანა, გვაქვს უთვალავი ფერითა,",დასაწყისი,1,1,3
1.1.4,და მისგან არს ყოვლი ხელმწიფე სახითა მის მიერითა.,დასაწყისი,1,1,4
1.2.1,"ჰე, ღმერთო ერთო, შენ შეჰქმენ სახე ყოვლისა ტანისა,",დასაწყისი,1,2,1
1.2.2,"შენ დამიფარე, ძლევა მეც დათრგუნვად მე სატანისა,",დასაწყისი,1,2,2
1.2.3,"მომეც მიჯნურთა სურვილი, სიკვდიდმდე გასატანისა,",დასაწყისი,1,2,3
1.2.4,"და ცოდვათა შესუბუქება, მუნ თანა წასატანისა.",დასაწყისი,1,2,4
1.3.1,"ვის ჰშვენის,-ლომსა,-ხმარება შუბისა, ფარ-შიმშერისა,",დასაწყისი,1,3,1
1.3.2,"მეფისა მზის თამარისა ღაწვ-ბადახშ-თმა-გიშერისა,",დასაწყისი,1,3,2
1.3.3,"მას, არა ვიცი, შევჰკადრო შესხმა ხოტბისა შე-რისა,",დასაწყისი,1,3,3
1.3.4,და მისთა მჭვრეტელთა ყანდისა მირთმა ხამს მართ მი-შერისა.,დასაწყისი,1,3,4
1.4.1,"თამარს ვაქებდეთ მეფესა, სისხლისა ცრემლ-დათხეული,",დასაწყისი,1,4,1
1.4.2,"ვთქვენი ქებანი ვისნი მე, არ-ავად გამორჩეული.",დასაწყისი,1,4,2
1.4.3,"მელნად ვიხმარე გიშრის ტბა და კალმად მე ნა რხეული,",დასაწყისი,1,4,3
1.4.4,"და ვინცა ისმინოს, დაესვას ლახვარი გულსა ხეული.",დასაწყისი,1,4,4
1.5.1,"მიბრძანეს მათად საქებრად თქმა ლექსებისა ტკბილისა,",დასაწყისი,1,5,1
1.5.2,"ქება წარბთა და წამწამთა, თმათა და ბაგე-კბილისა,",დასაწყისი,1,5,2
1.5.3,"ბროლ-ბადახშისა თლილისა, მით მიჯრით მიწყობილისა,",დასაწყისი,1,5,3
1.5.4,და გასტეხს ქვასაცა მაგარსა გრდემლი ტყვიისა ლბილისა.,დასაწყისი,1,5,4
1.6.1,"აწ ენა მინდა გამოთქმად, გული და ხელოვანება,",დასაწყისი,1,6,1
1.6.2,"ძალი მომეც და შეწევნა, შენგნით მაქვს, მივსცე გონება,",დასაწყისი,1,6,2
1.6.3,"მით შევეწივნეთ ტარიელს, ტურფადცა უნდა ხსენება,",დასაწყისი,1,6,3
1.6.4,და მათ სამთა გმირთა მნათობთა სჭირს ერთმანერთის მონება.,დასაწყისი,1,6,4
1.7.1,"მო, დავსხდეთ, ტარიელისთვის ცრემლი გვდის შეუშრობილი;",დასაწყისი,1,7,1
1.7.2,მისებრი მართ დაბადებით ვინმცა ყოფილა შობილი!,დასაწყისი,1,7,2
1.7.3,"დავჯე, რუსთველმან გავლექსე, მისთვის გულ-ლახვარ-სობილი,",დასაწყისი,1,7,3
1.7.4,"და აქამდის ამბად ნათქვამი, აწ მარგალიტი წყობილი.",დასაწყისი,1,7,4
1.8.1,"მე, რუსთველი, ხელობითა ვიქმ საქმესა ამა დარი:",დასაწყისი,1,8,1
1.8.2,"ვის ჰმორჩილობს ჯარი სპათა, მისთვის ვხელობ, მისთვის მკვდარი;",დასაწყისი,1,8,2
1.8.3,"დავუძლურდი, მიჯნურთათვის კვლა წამალი არსით არი,",დასაწყისი,1,8,3
1.8.4,"და ანუ მომცეს განკურნება, ანუ მიწა მე სამარი.",დასაწყისი,1,8,4
1.9.1,"ესე ამბავი სპარსული, ქართულად ნათარგმანები,",დასაწყისი,1,9,1
1.9.2,"ვით მარგალიტი ობოლი, ხელის-ხელ საგოგმანები,",დასაწყისი,1,9,2
1.9.3,"ვპოვე და ლექსად გარდავთქვი, საქმე ვქმენ საჭოჭმანები,",დასაწყისი,1,9,3
