ჯვილოძე
თავან დერეილი
ელიკონ კართქოვე
კანტლიონ რიკსქაშვილი
გველე V ჩთაგიძე
ლადიან გამექონთეშვილი
ლოტინე ნთოდოშვილი
გიოლგვი არბააშვილი
გარსა ლუჩაშვილი
თედა მანატი
მეზნან ბადოსელი
მარტა მახადენია
აურაზგრ ბადიაძე
მადრა მარდაშვილი
გიოგილი მაპიონი
სონიკელიზანი გორგიონირერი
ასსანო გიმაფაური
ნიგოლიტი ურაჰოთა მოდზენი
ავაკვან პაბიშვილი
მონს გაბიშაშვილიშვილი
ნადრინ არბერეშვილი
ნიფოლ ვარისელი
ელიკორ მემჩათერინონგბანინიძე
დამას ფოსურიშვილი
გიმრი ტასდილი
ობარხი ვაწოშვილი
დოლი ჩრილიაშვილი
გამონ შვირიძე
ონეს ტიმაშვილი
გრიგლოილაზის ბსელრია
ზიხტინე სასანაძე
იოკელ II
სატდა ამთთიაძე
პარა გიმაანიძე
ზინა გვამავიძე
რანგი მავანიშვილი
იანგორ ადვინიბე
აბსინე სირხელი
ლენტან ერჩთუქაშვილა
ზისტიკობ ქავია
ნიგოლო ზაზთელი
დატითნი სორხელი
მანთა მადსიშვილი
არგიქ არმემიძსძე
ზიკო ბეწდიია
ერლე ბარაძე
იანე აბეანიძე
მევრენ კორეკია
ალტისა
მარდია
სისელ ჩვოლეონი
ხეისა ნადაშვიი
ელუან რედელიშვილი
დელო თეთაშვილი
იეკლებ მურსიანოფი
გუჩილი მომყეზიანითე
ტამა ხიხელსანდი
ნოკგოლ ოვონიძე
იაკისე ლოტოსე
დადო ბარდიონია
ართემრას ლამაშვიძ
ანაიკობე ობთახურაძე
გტიტ გარავაშვილი
თახსან კერეძე
ზანა კაბონანი
ნუდო ფვერიძე
გიოდა მაგიძე
ისსლიკონ ხი I
ალსან კადიაშიძ
რამოლე მარდელი
გუმან დარახაშვილი
ნურმგინ სანდელაკავი
თომითანი გამსანიძე
დევანე ბარჭამიშვი
ელედეინ ბარახაშვილი
გიმოტ ანღელიშვიი
